settlement_id,payment_id,utr,merchant_id,bank_account_num,ifsc,gross_amount_inr,net_amount_inr,status,failure_reason,initiated_at,settled_at
setl_1001,pay_success_001,HDFC98237461524,acc_merch_001,XXXXXX9821,HDFC0001234,2500.0,2441.0,processed,,2026-09-02 09:00:00,2026-09-02 11:30:00
setl_1002,pay_success_002,ICIC84729103948,acc_merch_001,XXXXXX9821,HDFC0001234,850.0,850.0,processed,,2026-09-03 08:30:00,2026-09-03 09:45:00
setl_1005,pay_delay_holiday_001,,acc_merch_001,XXXXXX9821,HDFC0001234,3400.0,3319.76,pending,BANK_HOLIDAY_DELAY: Batch queued for next clearing window post holiday,2026-08-31 10:00:00,
setl_1006,pay_fail_bank_ifsc_001,,acc_merch_003,XXXXXX4412,SBIN0999999,5000.0,4882.0,failed,INVALID_IFSC_CODE: Destination bank branch not reachable via NEFT/RTGS network,2026-09-02 10:00:00,
setl_1007,pay_fail_bank_frozen_001,,acc_merch_004,XXXXXX7789,KKBK0000888,2000.0,1952.8,failed,BENEFICIARY_ACCOUNT_FROZEN: Bank rejected credit - account has debit/credit freeze,2026-09-02 10:30:00,
setl_1008,pay_risk_hold_compliance_001,,acc_merch_005,XXXXXX5521,AXIS0000123,75000.0,73230.0,on_hold,RISK_FRAUD_HOLD: Payout suspended pending high-value merchant AML clearance,2026-09-03 09:00:00,
setl_1009,pay_risk_hold_kyc_001,,acc_merch_006,XXXXXX3311,BARB0MUMBAI,1850.0,1806.34,on_hold,MERCHANT_KYC_PENDING: Bank payout paused until merchant updates GSTIN and pan,2026-09-03 09:00:00,
setl_1010,pay_recon_discrepancy_001,PUNB19283746501,acc_merch_001,XXXXXX9821,HDFC0001234,10000.0,9200.0,processed,,2026-09-02 09:00:00,2026-09-02 12:00:00
setl_1011,pay_missing_ledger_001,,acc_merch_007,XXXXXX1190,UTIB0000001,3100.0,3026.84,pending,Awaiting ledger reconciliation match,2026-08-31 09:00:00,
setl_1013,pay_conflict_status_001,SBIN00481726354,acc_merch_008,XXXXXX6622,SBIN0000111,6400.0,6248.96,processed,,2026-08-30 10:00:00,2026-08-30 14:00:00
setl_1014,pay_unsettled_in_sla_001,,acc_merch_001,XXXXXX9821,HDFC0001234,1500.0,1500.0,pending,,2026-09-04 15:00:00,
setl_demo_0001,pay_demo_0001,DEMO00000000001,acc_demo_002,XXXXXX9001,HDFC0001234,237.0,231.41,processed,,2026-08-02 08:00:00,2026-08-02 10:00:00
setl_demo_0002,pay_demo_0002,DEMO00000000002,acc_demo_003,XXXXXX9002,HDFC0001234,374.0,365.17,processed,,2026-08-02 11:00:00,2026-08-02 13:00:00
setl_demo_0003,pay_demo_0003,DEMO00000000003,acc_demo_004,XXXXXX9003,HDFC0001234,511.0,498.94,processed,,2026-08-02 14:00:00,2026-08-02 16:00:00
setl_demo_0004,pay_demo_0004,DEMO00000000004,acc_demo_005,XXXXXX9004,HDFC0001234,648.0,632.71,processed,,2026-08-02 17:00:00,2026-08-02 19:00:00
setl_demo_0005,pay_demo_0005,DEMO00000000005,acc_demo_006,XXXXXX9005,HDFC0001234,785.0,766.47,processed,,2026-08-02 20:00:00,2026-08-02 22:00:00
setl_demo_0006,pay_demo_0006,DEMO00000000006,acc_demo_007,XXXXXX9006,HDFC0001234,922.0,900.24,processed,,2026-08-02 23:00:00,2026-08-03 01:00:00
setl_demo_0007,pay_demo_0007,DEMO00000000007,acc_demo_008,XXXXXX9007,HDFC0001234,1059.0,1034.01,processed,,2026-08-03 02:00:00,2026-08-03 04:00:00
setl_demo_0008,pay_demo_0008,DEMO00000000008,acc_demo_009,XXXXXX9008,HDFC0001234,1196.0,1167.77,processed,,2026-08-03 05:00:00,2026-08-03 07:00:00
setl_demo_0009,pay_demo_0009,DEMO00000000009,acc_demo_010,XXXXXX9009,HDFC0001234,1333.0,1301.54,processed,,2026-08-03 08:00:00,2026-08-03 10:00:00
setl_demo_0010,pay_demo_0010,DEMO00000000010,acc_demo_011,XXXXXX9010,HDFC0001234,1470.0,1435.31,processed,,2026-08-03 11:00:00,2026-08-03 13:00:00
setl_demo_0011,pay_demo_0011,DEMO00000000011,acc_demo_012,XXXXXX9011,HDFC0001234,1607.0,1569.07,processed,,2026-08-03 14:00:00,2026-08-03 16:00:00
setl_demo_0012,pay_demo_0012,DEMO00000000012,acc_demo_013,XXXXXX9012,HDFC0001234,1744.0,1702.84,processed,,2026-08-03 17:00:00,2026-08-03 19:00:00
setl_demo_0013,pay_demo_0013,DEMO00000000013,acc_demo_014,XXXXXX9013,HDFC0001234,1881.0,1836.61,processed,,2026-08-03 20:00:00,2026-08-03 22:00:00
setl_demo_0014,pay_demo_0014,DEMO00000000014,acc_demo_015,XXXXXX9014,HDFC0001234,2018.0,1970.38,processed,,2026-08-03 23:00:00,2026-08-04 01:00:00
setl_demo_0015,pay_demo_0015,DEMO00000000015,acc_demo_016,XXXXXX9015,HDFC0001234,2155.0,2104.14,processed,,2026-08-04 02:00:00,2026-08-04 04:00:00
setl_demo_0016,pay_demo_0016,DEMO00000000016,acc_demo_017,XXXXXX9016,HDFC0001234,2292.0,2237.91,processed,,2026-08-04 05:00:00,2026-08-04 07:00:00
setl_demo_0017,pay_demo_0017,DEMO00000000017,acc_demo_018,XXXXXX9017,HDFC0001234,2429.0,2371.68,processed,,2026-08-04 08:00:00,2026-08-04 10:00:00
setl_demo_0018,pay_demo_0018,DEMO00000000018,acc_demo_019,XXXXXX9018,HDFC0001234,2566.0,2505.44,processed,,2026-08-04 11:00:00,2026-08-04 13:00:00
setl_demo_0019,pay_demo_0019,DEMO00000000019,acc_demo_020,XXXXXX9019,HDFC0001234,2703.0,2639.21,processed,,2026-08-04 14:00:00,2026-08-04 16:00:00
setl_demo_0020,pay_demo_0020,,acc_demo_021,XXXXXX9020,HDFC0001234,2840.0,2772.98,pending,BANK_HOLIDAY_DELAY: Batch awaiting next clearing window,2026-08-04 17:00:00,
setl_demo_0021,pay_demo_0021,DEMO00000000021,acc_demo_022,XXXXXX9021,HDFC0001234,2977.0,2906.74,processed,,2026-08-04 20:00:00,2026-08-04 22:00:00
setl_demo_0022,pay_demo_0022,DEMO00000000022,acc_demo_023,XXXXXX9022,HDFC0001234,3114.0,3040.51,processed,,2026-08-04 23:00:00,2026-08-05 01:00:00
setl_demo_0023,pay_demo_0023,DEMO00000000023,acc_demo_024,XXXXXX9023,HDFC0001234,3251.0,3174.28,processed,,2026-08-05 02:00:00,2026-08-05 04:00:00
setl_demo_0024,pay_demo_0024,DEMO00000000024,acc_demo_025,XXXXXX9024,HDFC0001234,3388.0,3308.04,processed,,2026-08-05 05:00:00,2026-08-05 07:00:00
setl_demo_0025,pay_demo_0025,DEMO00000000025,acc_demo_001,XXXXXX9025,HDFC0001234,3525.0,3441.81,processed,,2026-08-05 08:00:00,2026-08-05 10:00:00
